Helia Galdamez Saldivar#13:23
Josefina Pizarro Fabrega#12:35
Guisela Celedon Opazo#12:51
Carmela Saldivia Castro#11:54
Leonardo Oteiza Antilef#12:13
Christian Rubio Tapia#12:45
Ibar Navarro Calvo#11:56
Isidoro Duque Ureta#12:25
Teofilo Fuica Belmar#12:38
Scarlett Quiroga Olmos#11:35
Rossana Condori Herrera#11:49
Janina Labarca Valenzuela#13:47
Alejandra Escalante Devia#13:27
Exequiel Cartes Macias#12:01
Raimundo Labarca Carvallo#12:04
Boris Angulo Zumaran#12:37
Priscila Pradenas Riveros#11:48
Anthony Ramos Osorio#12:35
Hoz Adaos Illanes#12:38
Romilio Cubillos Pezoa#12:34
Daysi Angulo Cabezas#12:21
Vanessa Hidalgo Abarza#12:15
Henry Ovalle Barra#11:38
Teodoro Vega Ugalde#12:37
Luz Viza Lizana#13:08
Yohanna Contador Olivos#12:43
Javier Victoriano Victoriano#12:41
Janett Sanchez Antilef#12:38
Rocio Retamales Schmidt#13:41
Yanett Ferreira Aballay#12:34
Clorinda Diaz Antunez#11:59
Ingrid Aparicio Romero#12:10
Edilia Cayo Rioseco#12:05
Felisa Espinosa Bruna#13:14
Romelio Roldan Jeldres#12:48
Braulio Arismendi Solar#11:37
Nilda Pavez Oliva#12:43
Natacha Abarca Isla#13:31
German Badilla Benavides#12:44
Viviana Robledo Matus#13:05
Desiderio Pacheco Barriga#12:32
Edison Oyaneder Landeros#13:07
Zaida Jelvez Camanno#12:31
Edson Montes Monsalves#12:22
Maricela Alveal Franco#12:53
Yamil Castillo Tapia#12:33
Albina Barra Beltran#12:09
Adelaida Galindo Sanzana#12:55
Aurelia Arcos Trivinnos#12:19
Victoriano Cantillana Trincado#12:53
Milenka Luarte Corrales#13:16
Belarmino Victoriano Burboa#12:26
Mateo Andaur Jeldres#12:50
Michael Palacio Celis#12:22
Selma Saavedra Ortega#12:46
Vivian Iturriaga Davila#13:41
Giovanni Malhue Betancur#12:57
Gisella Milla Daza#12:08
Odilia Encina Eganna#13:19
Romilio Torres Escalona#12:49
Andrea Manquez Roman#12:16
Maricel Lastra Retamal#13:11
Rene Alucema Pasten#12:44
Eugenia Torreblanca Contardo#13:15
Francis Oliva Cea#12:09
Yennifer Olea Galarce#12:50
Vania Ordenes Villarroel#12:25
Magda Vallejos Milla#13:17
Emelina Salazar Pozo#13:06
Priscila Lucero Caqueo#12:36
Zenon Santiago Delgado#11:55
Munnoz Trivinnos Ormazabal#12:10
Elvia Caballero Ocares#13:04
Scarlet Bucarey Talamilla#12:01
Cintya Varas Zelaya#13:18
Clarisa Tirado Thompson#12:48
Justina Martel Cid#12:47
Matias Valdebenito Trivinno#11:57
Dante Lineros Jelves#12:02
Fany Segovia Araya#12:19
Susy Arriaza Urrutia#12:32
Leila Vidal Vidal#12:26
Elva Olave Zenteno#12:45
Esther San Oliva#13:27
Mirko Narvaez Lavin#12:18
Eric Orrego Azocar#13:55
Jacquelin Jaure Cadiz#13:06
Fresia Espindola Faundez#13:43
Josefina Calderon Subiabre#12:56
Johnny Toledo Villarreal#13:35
Fresia Gatica Arce#11:35
Alejandrina Fritis Larrondo#13:44
Danae Aguila Orias#13:22
Olivia Segovia Chandia#12:10
Brunilda Rivero Falcon#13:03
Dionisio Verdugo Gomez#13:19
Texia Lagunas Garay#12:53
Orfelina Zelada Fuenzalida#12:33
Sabrina Pulgar Cardenas#13:07
Eladio Heredia Beiza#12:26
Nivia Alvial Grandon#12:29
Yanet Alcaino Zeballos#12:55
Rachel Aliaga Valerio#12:45
Dina Oyarce Tobar#13:05
Saul Roa Pozo#12:53
Robinson Chepillo Avaria#12:21
Inelia Paredes Pozo#11:51
Lucio Sagredo Celedon#13:03
Brayan Rioseco Iturrieta#12:49
Bristela Grandon Correa#11:52
Carola Ibannez Gallegos#12:47
Yerko Alveal Padilla#13:08
Freddy Matta Polanco#12:52
Elvia Lillo Anabalon#12:50
Belen Cerna Campanna#12:54
Elva Ocares Puebla#13:07
Darling Mejias Vielma#12:42
Edson Jaime De#12:38
Patrick Carvallo Llanten#12:27
Alondra Uribe Irarrazabal#12:10
Alida Monroy Morgado#13:48
Jason Bruna Veas#12:39
Lino Ravanal Abello#12:51
Barra Esteban Millapan#12:25
Gloria Adaros Matus#12:50
Nataly Tamayo Ibaceta#13:28
Anita Salvatierra Mesa#13:17
Rivera Escudero Canto#12:58
Ninfa Lagunas Melendez#12:18
Masiel Araos Melendez#12:35
Sandy Leiton Ampuero#12:41
Yuri Zagal Barrales#12:47
Onofre Alvear Vilca#12:58
Ernesto Flandez Caceres#13:23
Pino Enriquez Parraguez#12:48
Olivia Olmos Guerrero#12:56
Hermosina Cruz Asenjo#12:45
Araceli Romo Calquin#12:45
Janette Bizama Solorza#12:30
Vladimir Arroyo Gil#12:35
Nuvia Quintanilla Santis#13:04
Benita Salcedo Moyano#13:05
Alina Antilef Valerio#12:49
Marisel Gil Jaramillo#13:42
Nelida Chavarria Olea#12:31
Barra Lucero Osses#13:02
Jesica Encina Polanco#13:05
Marilyn Ganga Alvial#12:17
Texia Olavarria Guaman#13:27
Natacha Gana Mansilla#13:12
Williams Trujillo Llanos#12:47
Dominga Videla Bocaz#12:54
Claudia Lavin Gonzalez#12:31
Esteban Pezo Ahumada#12:02
Rene Maulen Neumann#12:44
Gricelda Pradenas Illesca#12:50
Octavio Estrada Mayorga#13:22
Blanca Alcayaga Alonso#13:05
Eladio Arteaga Cubillos#13:09
Victorina Puentes Bordones#12:21
Paul Pinochet Mesina#12:45
Mackarena Tolosa Nnanco#13:43
Josefina Santiago Larrain#13:08
Maricel Recabal Aedo#13:27
Valentin Olate Gavilan#12:26
Sandro Palacio Valerio#12:22
Mery Albornoz Galarce#13:15
Cristopher Rossel Ferrer#13:05
Rachel Zumaran Rubilar#13:32
Carolyn Oporto Crisosto#12:37
Rivera Vigorena Guardia#12:16
Selva Aliste Vinet#13:14
Charles Rozas Moroso#13:06
Jacob Luna Orostegui#11:52
Alejandro Mardones Huerta#12:08
Isidora Rivero Rocha#12:52
Melania Carriel Rojas#13:31
Edinson Cayo Villar#12:28
Marilin Alcaino Caroca#11:57
Joselin Poveda Ilabaca#12:38
Diogenes Valeria Cueto#13:25
Audolia Smith Estay#13:21
Fany Manque Quiroga#11:47
Bryan Roblero Ortiz#12:58
Amable Caneo Madriaga#13:23
Helen Aspe Trivinno#13:31
Ronald Sarabia Maturana#12:49
Isidoro Ravanal Gahona#12:52
Marina Pinto Garay#12:20
Jonnathan Higuera Caballero#13:40
Mirna Santibannez Quinnones#12:38
Alicia Grandon Torrejon#12:01
Nelda Cruces Tolosa#13:08
Jesus Nnanco Moyano#12:42
George Bustamante Enriquez#11:59
Cipriano Gacitua Rey#13:17
Estelvina Fuentes Bustamante#11:44
Ercilia Olate Zegarra#12:12
Vicente Antunez Cerna#13:33
Celso Bravo Coronado#12:42
Fresia Lineros Tolosa#13:29
Richard Gongora Cofre#12:55
Alondra Dorador Bahamondez#12:37
Urzula Vivar Santibannez#12:49
Marjorie Orozco Beroiza#12:55
Gumercinda Ortega Hormazabal#12:50
Nadia Herrera Faundes#12:55
Andrea Cayo Provoste#13:24
Eleuterio Ortiz Ferreira#12:56
Yoana Pinuer Jimenez#11:57
Alda Pedraza Aparicio#13:20
Milenko Constanzo Villablanca#12:21
Marcia Badilla Ganga#12:39
Erick Bautista Cifuentes#12:17
Tomas Arce Parada#13:38
Tulio Parra Quijada#13:09
Alamiro Ledezma Arrue#13:11
Rigoberto Silva Andaur#12:25
Alexander Patinno Parra#12:50
Guillermina Caneo Maldonado#12:17
Priscila Balbontin Tejada#12:40
Edinson Amestica Mieres#12:12
Marie Covarrubias Saavedra#13:06
Gladis Sazo Izquierdo#12:48
Martin Cerezo Mallea#12:05
Maureen Barrueto Correa#12:25
Gaspar Cuevas Galdames#12:04
Oriana Lecaros Quiero#12:40
Marta Balcazar Pasten#13:12
Clara Beroiza Valero#12:31
Ada Oses Ayala#12:51
Esther Huerta Tolosa#12:22
Miryam Obando Aguilar#13:17
Aliro Cossio Torres#12:46
Eileen Urzua Zenteno#12:38
Tiare Osores Castellon#12:35
Alfredo Rojo Donaire#12:34
Blanca Pineda Gallardo#13:08
Minerva Quinteros Galaz#11:56
Alison Armijo Santa#12:19
Olivia Noriega Martinez#13:35
Mirza Pailamilla Poveda#12:55
Regina Pinochet Castanneda#12:45
Ernesto Blanco Burdiles#13:24
Miguelina Cabello Urrea#12:51
Nibaldo Martinez Salfate#13:30
Nolvia Tordecilla Marileo#13:35
Ceferino Callejas Albornoz#13:19
Mercedes Barahona Cuevas#13:12
Ulda Argandonna Pezoa#13:06
Leonidas Escobedo Muena#12:59
Humilde Beroiza Mundaca#12:20
Cynthia Penna Mendoza#13:10
Silvia Navarro Espindola#12:26
Eusebio Roco Andrade#13:23
Lorna Ovando Villarreal#12:13
Agustin Aceituno Oportus#12:05
Eugenio Toro Rivera#12:33
Elvira Claveria Araos#12:48
Malvina Cordova Lema#12:47
Mirko Montecinos Camus#13:00
Elvis Crisostomo Trivinno#13:07
Edith Tarifenno Bernales#13:12
Jesenia Garay Zambrano#12:50
Ida Bahamonde Muena#12:41
Thomas Pineda Caris#13:25
Florindo Antiquera Salvatierra#13:37
Flor Hurtado Robles#12:07
Luciana Marambio Esparza#11:53
Servando Villalobos Pavez#12:22
Paulette Patinno Lira#13:36
Glenda Monardes Luco#13:11
John Iturra Elgueta#13:28
Atilio Roman Asencio#12:54
Leticia Iturrieta Duarte#13:42
Rosa Salvatierra Velozo#13:09
Herminda Fabrega Rubina#13:48
Lucila Lobos Jelves#12:51
Fabrizio Irarrazabal Ledesma#13:07
Clarisa Del Araya#12:20
Myrna Neyra Echeverria#12:37
Selva Andana Muga#13:05
Byron Bustos Orrego#13:01
Pino Mery Saldias#12:39
Daysi Quintana Gangas#12:45
San Ilabaca Benavides#13:07
Allison Castro Mellado#12:37
Jacquelinne Aracena Escarate#13:36
Vicky Asencio Jeraldo#12:21
Edwin Ibacache Narvaez#12:06
Soraya Contador Sepulveda#12:28
Alison Fuentes Cisternas#12:18
Yenifer Vasquez Ledezma#13:23
Donatila Villalon Artigas#13:52
Erick Aburto Amaro#12:46
Isamar Eganna Schmidt#13:24
Basilio Cossio Alzamora#12:41
Olaya Mejias Talamilla#13:50
Edwin Leal Alcaino#13:18
Claudio Castanneda Zumaran#12:26
Aida Munnoz Zagal#12:21
Uberlinda Jauregui Moris#12:00
Tamara Adaros Abarzua#12:29
Tito Oliva Riquelme#13:08
Yocelyn Corral Albarran#12:02
Anthony Vargas Marambio#12:50
Ema Janna Betancur#13:41
Washington Urrutia Luarte#12:53
Hipolito Blas Bruna#12:44
Estefania Penna Valdivieso#13:28
Salome Rodriguez Millar#13:08
Jacinto Ibarra Penna#13:27
Yeniffer Trivinnos Mercado#12:34
Danilo Bastias Verdejo#13:32
Italo Antilef Escanilla#13:02
Susana Gana Olivos#13:52
Lorenzo Rifo Navarro#13:07
Amalia Leyton Moraga#13:06
Guisela Vasquez Berenguela#13:07
Isaura Lorca Quispe#13:12
Cinthya Urbina Ortega#12:51
Marilin Castro Provoste#12:38
Noemi Dote Olguin#13:54
Sara Hernandez Santiago#12:24
Rigoberto Van Moraga#13:09
Liliana Roldan Chambe#11:43
Thomas Osorio Enriquez#12:36
Cintya Fica Esquivel#12:24
Rufino Cruz Agurto#12:57
Rose Prado Guerra#13:48
Adrian Caviedes Guevara#13:24
Alvaro Puebla Quinteros#11:48
Alvaro Pedreros Alzamora#12:42
Wladimir Lozano Cares#12:46
Mary Placencia Mallea#13:47
Delfina Naranjo Veloso#11:34
Catalina Anacona Pardo#13:04
Gerson Bascunnan Villavicencio#12:14
Lia Concha Maganna#13:00
Eduvina Valderrama Burboa#12:28
Hermosina Ordenes Abarca#12:51
Enzo Amaya Zenteno#12:51
Audolina Aguila Belmar#12:05
Scarlett Cuadra Contador#12:28
Karime Angulo Gomez#12:36
Abel Fritz Zelada#12:54
Gonzalez Malhue Mayorga#12:21
Bruno Cerpa Subiabre#13:35
Marisela Calvo Meza#13:09
Oscar Jauregui Otarola#13:34
Aurora Villa Oyarce#12:22
Braulio Navia Plaza#12:27
Vilma Gallardo Barrueto#12:44
Vinka Gajardo Henriquez#12:46
Tania Cabeza Velozo#12:43
Caroline Romo Nahuelpan#12:22
Marcia Rocco Davila#12:45
Araceli Camanno Larrondo#12:58
Eloisa Dinamarca Coloma#12:43
Ruben Madriaga Montt#13:18
Genaro Lanas Monardes#12:46
Valeria Moran Ravanal#12:43
Fabiola Ovalle Varela#13:18
Violeta Martin Olivera#13:10
Elio Urbina Meza#12:23
Joseph Moyano Tejeda#13:17
Anthony Maureira Iribarren#12:32
Barra Mira Vilca#12:16
Anita Lineros Benavides#11:44
Emilia Geraldo Vera#13:28
Yesenia Palacio Amaro#13:03
Jenniffer Coloma Vigorena#12:48
Muriel Olguin Montt#12:35
Peter Aqueveque Viera#13:39
Yury Moran Jamett#13:08
Gema Baltazar Ruminot#12:04
Albert Teran Ascencio#12:19
Froilan Salamanca Mallea#13:55
Ronald Jeldes Marileo#12:13
Hugo Yannez Bobadilla#12:56
Ermelinda Suazo Beroiza#12:00
Marina Cereceda Fernandez#12:22
Marcela Mesina Olave#13:17
Ursula Escanilla Beiza#12:21
Yeniffer Pulido Pedreros#11:49
Allison Casanueva Viveros#12:04
Edgard Pantoja Medel#12:42
Victor Chacon Toro#12:47
Lorenza Zarricueta Tilleria#12:53
Nevenka Contador Sepulveda#13:22
Isaac Gamonal Muena#12:32
Daniel Zambrano Quinnones#13:44
Albertina Frias Calquin#12:53
Nubia Cabello Valdenegro#12:49
Dagoberto Aguero Pincheira#12:49
Diogenes Escanilla Lazo#12:14
Yesenia Ormazabal Alvial#12:44
Rosana Luza Onnate#12:24
Guillermina Cuello Lienlaf#12:03
Magali Trincado Astroza#12:44
Leonidas Buguenno Marquez#13:05
Benedicta Severino Ayavire#12:11
Benjamin Von Cifuentes#12:04
